type,id,question_zh,image_url,A,B,C,D,E,F,question_en,A_EN,B_EN,C_EN,D_EN,E_EN,F_EN,answer,comments_zh,comments_EN
single,S1,SE - F 系列产品的主要价值是什么？（ ）,,仅控制泵的启停,通过泵速控制和设备启停实现舒适度和节能,只监测系统压力,提高泵的生产效率,,,What is the main value of the SE - F series products?,Only control the start/stop of pumps,Achieve comfort and energy savings through pump speed control and equipment start/stop,Only monitor system pressure,Improve the production efficiency of pumps,,,B,,
single,S2,SE - F 泵组控制器采用的哪种技术可最大限度节约能源？（ ）,,传统控制技术,并联无传感器控制（PSPC）技术,单一传感器控制技术,手动控制技术,,,Which technology does the SE - F pump set controller adopt to maximize energy savings?,Traditional control technology,Parallel Sensorless Pump Control (PSPC) technology,Single - sensor control technology,Manual control technology,,,B,,
single,S3,SE - F 系列控制器的控制面板具有哪些认证标志？（ ）,,仅 UL 认证,UL、CSA 认证,UL、CSA、CE 认证,CE、ISO 认证,,,What certification marks does the control panel of the SE - F series controller have?,Only UL certification,"UL, CSA certification","UL, CSA, CE certification","CE, ISO certification",,,C,,
single,S4,SE - F 系列控制器的防护等级是多少？（ ）,,IP44/IP45,IP54/IP55,IP64/IP65,IP74/IP75,,,What is the protection level of the SE - F series controller?,IP44/IP45,IP54/IP55,IP64/IP65,IP74/IP75,,,B,,
single,S5,SE - F 系列控制器内部硬件包含以下哪些？（ ）,,触摸屏、PLC、现场 I/O 接线端子,仅触摸屏和 PLC,仅 PLC 和现场 I/O 接线端子,仅触摸屏和现场 I/O 接线端子,,,What does the internal hardware of the SE - F series controller include?,"Touch screen, PLC, field I/O terminal block",Only touch screen and PLC,Only PLC and field I/O terminal block,Only touch screen and field I/O terminal block,,,A,,
single,S6,SE - F 系列控制器标配的通讯端口有几个？（ ）,,2 个,3 个,4 个,5 个,,,How many communication ports are standard on the SE - F series controller?,2,3,4,5,,,B,,
single,S7,SE - F 系列控制器的 Modbus RS485 现场变频器端口是？（ ）,,可选,标配,部分型号标配,需额外安装,,,What is the Modbus RS485 field inverter port of the SE - F series controller?,Optional,Standard,Standard for some models,Requires additional installation,,,B,,
single,S8,SE - F 系列控制器的 BAS 通讯端口支持哪些协议？（ ）,,仅 Modbus,Modbus、BACnet、Lonworks,仅 BACnet,仅 Lonworks,,,Which protocols does the BAS communication port of the SE - F series controller support?,Only Modbus,"Modbus, BACnet, Lonworks",Only BACnet,Only Lonworks,,,B,,
single,S9,SE - F 系列控制器的接线图中涉及到哪些设备的控制？（ ）,,仅水泵速度控制,压差传感器、温度传感器、水泵速度控制 / 启停,仅旁通阀控制,主机运行状态、旁通阀控制,,,Which devices are involved in the control in the wiring diagram of the SE - F series controller?,Only pump speed control,"Differential pressure sensor, temperature sensor, pump speed control/start - stop",Only bypass valve control,"Host operation status, bypass valve control",,,B,,
single,S10,SE - F 系的特点不包括以下哪项？（ ）,,预设计、预编程,高风险安装,可快速部署,减少现场安装时间,,,Which of the following is not a feature of the SE - F series?,"Predesigned, pre - programmed",High - risk installation,Can be quickly deployed,Reduce on - site installation time,,,B,,
single,S11,SE - F 系列控制器可应用于以下哪种系统？（ ）,,仅一次泵系统,仅二次泵系统,一次泵或二次泵系统,工业加热系统,,,Which system can the SE - F series controller be applied to?,Only primary pump systems,Only secondary pump systems,Primary pump or secondary pump systems,Industrial heating systems,,,C,,
single,S12,SE - F 系列控制器最多可控制多少台泵？（ ）,,6 台,8 台,10 台,16 台,,,How many pumps can the SE - F series controller control at most?,6,8,10,16,,,B,,
single,S13,SE - F 系列控制器最多可控制多少个区域？（ ）,,8 个,12 个,16 个,20 个,,,How many zones can the SE - F series controller control at most?,8,12,16,20,,,C,,
single,S14,SE - F 系列控制器在控制泵时，可采用的控制方式不包括以下哪种？（ ）,,回水温度传感器控制,区域压差传感器控制,手动机械控制,并联无传感器技术控制,,,Which of the following control methods is not available for the SE - F series controller when controlling pumps?,Return water temperature sensor control,Zone differential pressure sensor control,Manual mechanical control,Parallel sensorless technology control,,,C,,
single,S15,SE - F 系列控制器适用于以下哪种连接方式的泵？（ ）,,仅共管连接,仅一对一连接,共管连接或一对一连接,串联连接,,,Which connection method of pumps is suitable for the SE - F series controller?,Only common - pipe connection,Only one - to - one connection,Common - pipe connection or one - to - one connection,Series connection,,,C,,
single,S16,SE - F 系列控制器在二次泵变流量系统中，可控制哪些设备？（ ）,,仅水泵,水泵和冷机或锅炉,水泵、旁通阀和传感器,水泵、冷机或锅炉、旁通阀和传感器,,,"In a secondary pump variable - flow system, which devices can the SE - F series controller control?",Only pumps,Pumps and chillers or boilers,"Pumps, bypass valves and sensors","Pumps, chillers or boilers, bypass valves and sensors",,,C,,
single,S17,SE - F 系列控制器在一次泵变流量系统中，最多可控制多少台冷机或锅炉？（ ）,,6 台,8 台,10 台,16 台,,,"In a primary pump variable - flow system, how many chillers or boilers can the SE - F series controller control at most?",6,8,10,16,,,B,,
single,S18,SE - F 系列控制器在冷水机启动时能提供什么保护？（ ）,,高温保护,最低流量保护,高压保护,漏电保护,,,What protection can the SE - F series controller provide during the startup of a chiller?,High - temperature protection,Minimum flow protection,High - pressure protection,Leakage protection,,,B,,
single,S19,SE - F 在安装阶段的优势不包括以下哪项？（ ）,,低风险安装,避免启动延迟,增加安装成本,减少现场安装时间,,,Which of the following is not an advantage of the SE - F series during the installation stage?,Low - risk installation,Avoid startup delay,Increase installation costs,Reduce on - site installation time,,,C,,
single,S20,SE - F 系列产品在运维阶段，通过什么方式解决问题？（ ）,,现场人工排查,工厂直接通过远程访问支持,等待用户反馈,定期更换设备,,,"In the operation and maintenance stage of the SE - F series products, how are problems solved?",On - site manual troubleshooting,Factory provides support through remote access directly,Wait for user feedback,Regularly replace equipment,,,B,,
multiple,M1,SE - F 系列控制器的通讯端口可支持的通讯协议包括？（ ）,,Modbus,BACnet,Lonworks,TCP/IP,,,Which communication protocols can the communication ports of the SE - F series controller support?,Modbus,Bacnet,Lonworks,TCP/IP,,,ABC,,
multiple,M2,SE - F 系列控制器内部硬件包含以下哪些组成部分？（ ）,,触摸屏,PLC,现场 I/O 接线端子,继电器,,,What components does the internal hardware of the SE - F series controller include?,Touch screen,PLC,Field I/O terminal block,Relay,,,ABC,,
multiple,M3,SE - F 系列控制器的防护等级能为其带来哪些好处？（ ）,,防止灰尘大量进入,抵御一定程度的喷水,避免外物碰撞损坏,具备防水淹功能,,,What benefits can the protection level of the SE - F series controller bring?,Prevent a large amount of dust from entering,Resist a certain degree of water spray,Avoid damage from external object collisions,Have the function of preventing water flooding,,,ABC,,
multiple,M4,SE - F 系列控制器可应用于以下哪些系统场景？（ ）,,一次泵系统,二次泵系统,工业制冷系统,商业建筑的暖通系统,,,Which system scenarios can the SE - F series controller be applied to?,Primary pump systems,Secondary pump systems,Industrial refrigeration systems,HVAC systems in commercial buildings,,,ABCD,,
multiple,M5,SE - F 系列控制器在控制泵时，可采用的控制方式有？（ ）,,回水温度传感器控制,区域压差传感器控制,并联无传感器技术控制,基于流量传感器的控制,,,What control methods can be used by the SE - F series controller when controlling pumps?,Return water temperature sensor control,Zone differential pressure sensor control,Parallel sensorless technology control,Flow sensor - based control,,,ABCD,,
multiple,M6,SE - F 系列控制器适用于以下哪些泵的连接方式？（ ）,,共管连接,一对一连接,串联连接,混合连接,,,Which pump connection methods are suitable for the SE - F series controller?,Common - pipe connection,One - to - one connection,Series connection,Hybrid connection,,,AB,,
multiple,M7,SE - F 系列控制器在二次泵变流量系统中，能控制的设备组合包括？（ ）,,水泵,冷机或锅炉,旁通阀,各类传感器,,,What device combinations can the SE - F series controller control in a secondary pump variable - flow system?,Pumps,Chillers or boilers,Bypass valves,Various sensors,,,ACD,,
multiple,M8,SE - F 系列产品相比传统产品，在节能方面的优势体现在？（ ）,,采用并联无传感器控制（PSPC）技术,优化控制策略，根据系统需求动态调整泵的运行,减少不必要的设备运行时间,提高电机效率,,,Where are the energy - saving advantages of the SE - F series products reflected compared with traditional products?,Adopt Parallel Sensorless Pump Control (PSPC) technology,Optimize the control strategy and adjust the pump operation dynamically according to system requirements,Reduce unnecessary equipment operation time,Improve motor efficiency,,,ABC,,
multiple,M9,SE - F 系列产品对楼宇管理系统带来的积极作用有？（ ）,,提供自动化运行功能,实现节能优化控制,降低管理难度,增强系统稳定性,,,What positive effects does the SE - F series products have on building management systems?,Provide automated operation functions,Achieve energy - saving optimization control,Reduce management difficulty,Enhance system stability,,,ABCD,,
multiple,M10,SE - F 在安装阶段的优势包括？（ ）,,低风险安装,避免启动延迟,减少现场安装时间,降低安装成本,,,What are the advantages of the SE - F series during the installation stage?,Low - risk installation,Avoid startup delay,Reduce on - site installation time,Reduce installation costs,,,ABCD,,
multiple,M11,SE - F 系列产品在运维阶段的优势体现在？（ ）,,可远程访问进行故障排查,直接获得工厂技术支持,减少人工现场运维工作量,快速定位和解决问题,,,What are the advantages of the SE - F series products in the operation and maintenance stage?,Remote access for troubleshooting,Direct access to factory technical support,Reduce manual on - site operation and maintenance workload,Quickly locate and solve problems,,,ABCD,,
multiple,M12,SE - F 系列产品在降低系统成本方面的综合方法有？（ ）,,采用并联无传感器泵控制提高能效,优化设备冗余配置，降低设备采购成本,减少安装和调试成本,降低运行能耗成本,,,What are the comprehensive methods for the SE - F series products to reduce system costs?,Adopt parallel sensorless pump control to improve energy efficiency,Optimize equipment redundancy configuration to reduce equipment procurement costs,Reduce installation and commissioning costs,Reduce operation energy consumption costs,,,ABCD,,
multiple,M13,关于 SE - F 系列控制器的设置显示，以下说法正确的有？（ ）,,有不同的密码保护级别,不同级别可进行的操作权限不同,可进行参数查看和修改操作,所有设置都需要专业人员才能调整,,,Which of the following statements about the setting and display of the SE - F series controller are correct?,There are different password protection levels,The operation permissions available at different levels are different,Parameter viewing and modification operations can be performed,All settings require professionals to adjust,,,ABC,,
multiple,M14,SE - F 系列产品在系统运行过程中，能保障的方面有？（ ）,,系统的流量稳定,用户的舒适度,设备的可靠运行,能源的高效利用,,,What aspects can the SE - F series products guarantee during the system operation process?,Stable system flow,User comfort,Reliable equipment operation,Efficient energy utilization,,,ABCD,,
multiple,M15,SE - F 系列控制器与建筑自动化系统（BAS）连接时，可能涉及的连接方式有？（ ）,,串口通信,以太网通信,无线通信,硬连线连接,,,What connection methods may be involved when the SE - F series controller is connected to a building automation system (BAS)?,Serial communication,Ethernet communication,Wireless communication,Hard - wired connection,,,ABD,,
multiple,M16,当 SE - F 系列控制器应用于大型商业综合体时，可能需要考虑的特殊需求有？（ ）,,多区域差异化控制,与其他智能系统的集成,应对高峰和低谷负荷的能力,远程监控和管理的便利性,,,"When the SE - F series controller is applied to a large - scale commercial complex, what special requirements may need to be considered?",Differentiated control of multiple zones,Integration with other intelligent systems,Ability to cope with peak and off - peak loads,Convenience of remote monitoring and management,,,ABCD,,
multiple,M17,SE - F 系列控制器在控制多个泵的运行时，其控制策略可能包括？（ ）,,顺序启停控制,负荷均衡分配,故障自动切换,节能优化运行,,,What control strategies may the SE - F series controller adopt when controlling the operation of multiple pumps?,Sequential start - stop control,Load balancing distribution,Automatic fault switching,Energy - saving optimized operation,,,ABCD,,
multiple,M18,以下哪些属于 Armstrong 泵组控制器的产品优势？（ ）,,并联泵系统的基于效率的优化控制,先进的多区域控制系统,变流量冷冻水一次泵或二次泵自动化控制,并联无传感器控制（PSPC）技术，最大限度地节约能源,工厂测试和认证，无需现场编程,无法通过外部传感器控制,Which of the following are the product advantages of Armstrong pump set controllers?,Efficiency - based optimization control for parallel pump systems,Advanced multi - zone control system,Automated control of variable - flow chilled water primary or secondary pumps,Parallel Sensorless Pump Control (PSPC) technology to maximize energy savings,"Factory - tested and certified, no on - site programming required",Cannot be controlled by external sensors,ABCDE,,
multiple,M19,SE - F 系列产品在升级和维护时，涉及的方面可能有？（ ）,,软件程序更新,硬件部件更换,功能扩展和优化,系统参数重新校准,,,What aspects may be involved in the upgrade and maintenance of the SE - F series products?,Software program update,Hardware component replacement,Function expansion and optimization,System parameter recalibration,,,ABCD,,
multiple,M20,SE - F 系列控制器与其他品牌同类产品相比，具有的独特优势有？（ ）,,先进的控制算法,良好的兼容性,较低的成本,优质的售后服务,,,What unique advantages does the SE - F series controller have compared with similar products of other brands?,Advanced control algorithm,Good compatibility,Low cost,High - quality after - sales service,,,ABCD,,
judge,J1,SE - F 能控制主机的运行台数（ ）,,正确,错误,,,,,The SE - F can control the number of operating hosts. ( ),TRUE,FALSE,,,,,错误,,
judge,J2,Armstrong 泵组控制器不能用于其他品牌的水泵（ ）,,正确,错误,,,,,Armstrong pump set controllers cannot be used for pumps of other brands. ( ),TRUE,FALSE,,,,,错误,,
judge,J3,一次泵和二次泵的控制产品是完全相同的一款控制产品（ ）,,正确,错误,,,,,The control products for primary pumps and secondary pumps are exactly the same. ( ),TRUE,FALSE,,,,,错误,,
judge,J4,SE - F 最多控制 6 台水泵（ ）,,正确,错误,,,,,The SE - F can control at most 6 pumps. ( ),TRUE,FALSE,,,,,错误,,
judge,J5,SE - F 系列控制器只能应用于二次泵系统。（ ）,,正确,错误,,,,,The SE - F series controller can only be applied to secondary pump systems. ( ),TRUE,FALSE,,,,,错误,,
judge,J6,SE - F 系列控制器标配的通讯端口一定有以太网端口。（ ）,,正确,错误,,,,,The standard communication ports of the SE - F series controller must include an Ethernet port. ( ),TRUE,FALSE,,,,,错误,,
judge,J7,在一次泵变流量系统中，SE - F 系列控制器不能控制锅炉数量。（ ）,,正确,错误,,,,,"In a primary pump variable - flow system, the SE - F series controller cannot control the number of boilers. ( )",TRUE,FALSE,,,,,正确,,
judge,J8,SE - F 系列控制器控制泵时只有并联无传感器技术控制这一种方式。（ ）,,正确,错误,,,,,"The SE - F series controller has only one control method, i.e., parallel sensorless technology control, when controlling pumps. ( )",TRUE,FALSE,,,,,错误,,
judge,J9,SE - F 系列控制器在二次泵变流量系统中不能控制传感器。（ ）,,正确,错误,,,,,The SE - F series controller cannot control sensors in a secondary pump variable - flow system. ( ),TRUE,FALSE,,,,,错误,,
judge,J10,SE - F 系列产品相比传统产品，在节能方面没有优势。（ ）,,正确,错误,,,,,The SE - F series products have no energy - saving advantages compared with traditional products. ( ),TRUE,FALSE,,,,,错误,,
judge,J11,SE - F 系列产品对楼宇管理系统没有积极作用。（ ）,,正确,错误,,,,,The SE - F series products have no positive effects on building management systems. ( ),TRUE,FALSE,,,,,错误,,
judge,J12,SE - F 系列产品在运维阶段无法远程访问。（ ）,,正确,错误,,,,,The SE - F series products cannot be remotely accessed during the operation and maintenance stage. ( ),TRUE,FALSE,,,,,错误,,
judge,J13,SE - F 系列产品在降低系统成本方面只依靠减少设备数量。（ ）,,正确,错误,,,,,The SE - F series products only rely on reducing the number of devices to reduce system costs. ( ),TRUE,FALSE,,,,,错误,,
judge,J14,SE - F 系列控制器的设置显示没有密码保护。（ ）,,正确,错误,,,,,The setting and display of the SE - F series controller have no password protection. ( ),TRUE,FALSE,,,,,错误,,
judge,J15,SE - F 系列产品在系统运行过程中不能保障用户舒适度。（ ）,,正确,错误,,,,,The SE - F series products cannot guarantee user comfort during the system operation process. ( ),TRUE,FALSE,,,,,错误,,
judge,J16,SE - F 系列控制器与建筑自动化系统（BAS）连接只能通过串口通信。（ ）,,正确,错误,,,,,The SE - F series controller can only be connected to a building automation system (BAS) through serial communication. ( ),TRUE,FALSE,,,,,错误,,
judge,J17,SE - F 系列控制器在控制多个泵的运行时没有故障自动切换功能。（ ）,,正确,错误,,,,,The SE - F series controller has no automatic fault - switching function when controlling the operation of multiple pumps. ( ),TRUE,FALSE,,,,,错误,,
judge,J18,在 SE - F 系列产品的使用过程中，环境因素对其性能没有影响。（ ）,,正确,错误,,,,,"During the use of the SE - F series products, environmental factors have no impact on their performance. ( )",TRUE,FALSE,,,,,错误,,
judge,J19,SE - F 系列控制器与其他品牌同类产品相比没有独特优势。（ ）,,正确,错误,,,,,The SE - F series controller has no unique advantages compared with similar products of other brands. ( ),TRUE,FALSE,,,,,错误,,
judge,J20,SE - F 系列控制器的 BAS 通讯端口支持的协议不包括 BACnet。（ ）,,正确,错误,,,,,The BAS communication port of the SE - F series controller does not support the BACnet protocol. ( ),TRUE,FALSE,,,,,错误,,
essay,E1,如下图：制冷系统二次侧的 2 台循环泵应该用哪种控制器？图上的关键区域压差传感器是否能与无传感器控制共用？,图片,,,,,,,As shown in the figure below: Which controller should be used for the 2 circulating pumps on the secondary side of the refrigeration system? Can the key zone differential pressure sensor in the figure be used together with sensorless control?,,,,,,,SE-F，图上的关键区域压差传感器是能与无传感器控制共用，采用混合控制模式。,,
